Line,bus0,bus1,x0,y0,x1,y1,s_nom,x,r,NUTS_ID,NUTS_ID_bus1,geometry,point0,point1,inside_germany
relation/5603845-380,way/88901626-380,way/88916034-380,7.843578290431129,47.58591228711821,7.956646031605341,47.5942542022786,1698.103,2.379809,0.290221,CH033,DE13A,"LINESTRING (7.843578290431129 47.58591228711821, 7.956646031605341 47.5942542022786)",POINT (7.843578290431129 47.58591228711821),POINT (7.956646031605341 47.5942542022786),True
relation/5603846-380,way/88901626-380,way/88916034-380,7.843578290431129,47.58591228711821,7.956646031605341,47.5942542022786,1698.103,2.382643,0.290566,CH033,DE13A,"LINESTRING (7.843578290431129 47.58591228711821, 7.956646031605341 47.5942542022786)",POINT (7.843578290431129 47.58591228711821),POINT (7.956646031605341 47.5942542022786),True
way/907517163-380,way/449010725-380,DK16-380,9.313593240733372,54.72824960158401,9.321915799220022,54.80573219043113,3396.205,1.136537,0.138602,DEF0C,DK032,"LINESTRING (9.313593240733372 54.72824960158401, 9.321915799220022 54.80573219043113)",POINT (9.313593240733372 54.72824960158401),POINT (9.321915799220022 54.80573219043113),True
merged_way/24846754-380+7,way/952346322-380,way/83423799-380,7.034943847094695,52.20226470688203,6.759177522035682,52.248856707990974,3396.205,2.691859,0.328275,DEA34,NL213,"LINESTRING (7.034943847094695 52.20226470688203, 6.759177522035682 52.248856707990974)",POINT (7.034943847094695 52.20226470688203),POINT (6.759177522035682 52.248856707990974),True
merged_way/26971631-220+1,AT11-220,way/68532663-220,11.102717899999998,47.2939608922396,11.277682675541646,47.49583923022129,983.112,4.693157,0.935513,AT332,DE21D,"LINESTRING (11.102717899999998 47.2939608922396, 11.277682675541646 47.49583923022129)",POINT (11.102717899999998 47.2939608922396),POINT (11.277682675541646 47.49583923022129),True
merged_way/30970013-2-220+3,way/57727004-220,way/727225348-220,10.362357736295506,47.73856494861932,10.873703610980469,47.244152315646566,491.556,24.643514,4.912328,DE273,AT334,"LINESTRING (10.362357736295506 47.73856494861932, 10.873703610980469 47.244152315646566)",POINT (10.362357736295506 47.73856494861932),POINT (10.873703610980469 47.244152315646566),True
merged_way/29291584-380+4,DE133-380,way/162176187-380,6.213656042172725,50.94372875610752,5.918474082201949,51.1484319333322,3396.205,4.181829,0.509979,DEA26,NL422,"LINESTRING (6.213656042172725 50.94372875610752, 5.918474082201949 51.1484319333322)",POINT (6.213656042172725 50.94372875610752),POINT (5.918474082201949 51.1484319333322),True
merged_way/30970013-1-380+3,way/57727004-380,way/727225348-380,10.362641741683367,47.73875491677088,10.873986769322642,47.24434100214673,1698.103,20.136291,2.455645,DE273,AT334,"LINESTRING (10.362641741683367 47.73875491677088, 10.873986769322642 47.24434100214673)",POINT (10.362641741683367 47.73875491677088),POINT (10.873986769322642 47.24434100214673),True
merged_way/33813956-220+2,way/1042974725-220,DE173-220,6.139900005866369,49.668535107923056,6.5772128171996425,49.76943400223032,983.112,5.409172,1.07824,LU000,DEB25,"LINESTRING (6.139900005866369 49.668535107923056, 6.5772128171996425 49.76943400223032)",POINT (6.139900005866369 49.668535107923056),POINT (6.5772128171996425 49.76943400223032),True
relation/1750800-220-b,way/25306752-220,way/83529203-220,9.42482717258167,48.06440952873783,9.71674743843907,47.432668222981256,491.556,25.818001,5.146445,DE149,AT342,"LINESTRING (9.42482717258167 48.06440952873783, 9.71674743843907 47.432668222981256)",POINT (9.42482717258167 48.06440952873783),POINT (9.71674743843907 47.432668222981256),True
merged_way/521228484-380+9,way/723528920-380,DE62-380,6.251762402588893,51.98171748595875,6.525629559756923,51.753288271209264,3396.205,4.881971,0.595362,NL225,DEA1F,"LINESTRING (6.251762402588893 51.98171748595875, 6.525629559756923 51.753288271209264)",POINT (6.251762402588893 51.98171748595875),POINT (6.525629559756923 51.753288271209264),True
relation/3756857-220-c,way/89176956-220,way/151967290-220,6.177959270464197,49.95300106334244,6.474922428806658,49.92250896093144,983.112,3.473456,0.692383,LU000,DEB23,"LINESTRING (6.177959270464197 49.95300106334244, 6.474922428806658 49.92250896093144)",POINT (6.177959270464197 49.95300106334244),POINT (6.474922428806658 49.92250896093144),True
relation/3756858-220-b,way/89176956-220,way/89176939-220,6.177959270464197,49.95300106334244,6.2109962656498015,49.95863113809307,983.112,0.374482,0.074647,LU000,DEB23,"LINESTRING (6.177959270464197 49.95300106334244, 6.2109962656498015 49.95863113809307)",POINT (6.177959270464197 49.95300106334244),POINT (6.2109962656498015 49.95863113809307),True
way/89176927-220,way/89176939-220,way/63089603-220,6.2109962656498015,49.95863113809307,6.114307027217572,49.90521500568833,983.112,1.549121,0.308795,DEB23,LU000,"LINESTRING (6.2109962656498015 49.95863113809307, 6.114307027217572 49.90521500568833)",POINT (6.2109962656498015 49.95863113809307),POINT (6.114307027217572 49.90521500568833),True
way/133787551-220,way/50729129-220,way/210191809-220,13.710738314546294,48.51929439213431,13.442854237548053,48.43454640799447,983.112,3.678494,0.733255,DE228,AT311,"LINESTRING (13.710738314546294 48.51929439213431, 13.442854237548053 48.43454640799447)",POINT (13.710738314546294 48.51929439213431),POINT (13.442854237548053 48.43454640799447),True
relation/1188569-400,way/170123812-400,way/39428977-400,14.267787266385485,53.09821875313808,14.476073038134764,53.19612477284646,1787.476,6.283152,0.766238,DE40I,PL428,"LINESTRING (14.267787266385485 53.09821875313808, 14.476073038134764 53.19612477284646)",POINT (14.267787266385485 53.09821875313808),POINT (14.476073038134764 53.19612477284646),True
relation/2239286-400,way/170123812-400,way/39428977-400,14.267787266385485,53.09821875313808,14.476073038134764,53.19612477284646,1787.476,6.283152,0.766238,DE40I,PL428,"LINESTRING (14.267787266385485 53.09821875313808, 14.476073038134764 53.19612477284646)",POINT (14.267787266385485 53.09821875313808),POINT (14.476073038134764 53.19612477284646),True
relation/14543718-220,way/1091984573-220,DE2-220,13.683262805267878,54.13879833040566,14.0307483,54.783070095753125,1474.668,8.652244,1.7247,DE80N,,"LINESTRING (13.683262805267878 54.13879833040566, 14.0307483 54.783070095753125)",POINT (13.683262805267878 54.13879833040566),POINT (14.0307483 54.783070095753125),True
way/1205463623-220-a,way/1091984573-220,DE3-220,13.683262805267878,54.13879833040566,13.936199110012511,54.75831769723423,491.556,23.687899,4.72184,DE80N,,"LINESTRING (13.683262805267878 54.13879833040566, 13.936199110012511 54.75831769723423)",POINT (13.683262805267878 54.13879833040566),POINT (13.936199110012511 54.75831769723423),True
relation/1637163-380,way/167695568-380,way/1280840211-380,6.950667098919838,53.1240201342966,7.309198551945082,53.12601854993507,1698.103,6.558842,0.799859,NL111,DE94C,"LINESTRING (6.950667098919838 53.1240201342966, 7.309198551945082 53.12601854993507)",POINT (6.950667098919838 53.1240201342966),POINT (7.309198551945082 53.12601854993507),True
relation/9981859-380,way/167695568-380,way/1280840211-380,6.950667098919838,53.1240201342966,7.309198551945082,53.12601854993507,1698.103,6.558842,0.799859,NL111,DE94C,"LINESTRING (6.950667098919838 53.1240201342966, 7.309198551945082 53.12601854993507)",POINT (6.950667098919838 53.1240201342966),POINT (7.309198551945082 53.12601854993507),True
way/157331464-380,way/943135226-380,CZ2-380,12.81514608044342,50.8580269913548,13.209988145547308,50.52882861982516,3396.205,6.357773,0.775338,DED41,CZ042,"LINESTRING (12.81514608044342 50.8580269913548, 13.209988145547308 50.52882861982516)",POINT (12.81514608044342 50.8580269913548),POINT (13.209988145547308 50.52882861982516),True
relation/3717718-400,way/32196554-400,way/87653464-400,7.555934076023083,47.907206064327255,7.75200057832894,48.0965040328803,1787.476,7.736392,0.943462,FR422,DE132,"LINESTRING (7.555934076023083 47.907206064327255, 7.75200057832894 48.0965040328803)",POINT (7.555934076023083 47.907206064327255),POINT (7.75200057832894 48.0965040328803),True
relation/3717719-220,way/81638061-220,way/87653464-220,7.572328408106124,48.01874473173885,7.751666640889463,48.096436687836736,491.556,5.510181,1.098375,FR422,DE132,"LINESTRING (7.572328408106124 48.01874473173885, 7.751666640889463 48.096436687836736)",POINT (7.572328408106124 48.01874473173885),POINT (7.751666640889463 48.096436687836736),True
relation/3730417-380,way/59026005-380,way/111615226-380,14.946482011488383,51.06257706216022,15.1142920700991,51.09241175527245,1698.103,3.684047,0.449274,DED2D,PL515,"LINESTRING (14.946482011488383 51.06257706216022, 15.1142920700991 51.09241175527245)",POINT (14.946482011488383 51.06257706216022),POINT (15.1142920700991 51.09241175527245),True
relation/3730418-380,way/59026005-380,way/111615226-380,14.946482011488383,51.06257706216022,15.1142920700991,51.09241175527245,1698.103,3.700453,0.451275,DED2D,PL515,"LINESTRING (14.946482011488383 51.06257706216022, 15.1142920700991 51.09241175527245)",POINT (14.946482011488383 51.06257706216022),POINT (15.1142920700991 51.09241175527245),True
relation/3756990-380,way/81641090-380,way/82773910-380,6.277004859079894,49.197611732368834,6.773272788999674,49.29095499932569,3396.205,4.818395,0.587609,FR413,DEC04,"LINESTRING (6.277004859079894 49.197611732368834, 6.773272788999674 49.29095499932569)",POINT (6.277004859079894 49.197611732368834),POINT (6.773272788999674 49.29095499932569),True
relation/3756991-220,way/129378915-220,way/82773910-220,6.703444932375877,49.138486600687735,6.7730096290423445,49.29111278960786,491.556,6.15393,1.226697,FR413,DEC04,"LINESTRING (6.703444932375877 49.138486600687735, 6.7730096290423445 49.29111278960786)",POINT (6.703444932375877 49.138486600687735),POINT (6.7730096290423445 49.29111278960786),True
relation/395087-380,way/29084374-380,way/28099187-380,12.114082906402942,49.631130051358056,13.331942131777906,50.347164224492005,1698.103,40.07204,4.886834,DE237,CZ042,"LINESTRING (12.114082906402942 49.631130051358056, 13.331942131777906 50.347164224492005)",POINT (12.114082906402942 49.631130051358056),POINT (13.331942131777906 50.347164224492005),True
relation/965662-380,way/29084374-380,way/28477054-380,12.114082906402942,49.631130051358056,13.335402722743344,49.59030489056111,1698.103,27.028158,3.296117,DE237,CZ032,"LINESTRING (12.114082906402942 49.631130051358056, 13.335402722743344 49.59030489056111)",POINT (12.114082906402942 49.631130051358056),POINT (13.335402722743344 49.59030489056111),True
relation/6170191-400,way/81641090-400,way/82773910-400,6.2770799072223324,49.197840161257545,6.77335027184804,49.29118309617939,1787.476,9.641225,1.175759,FR413,DEC04,"LINESTRING (6.2770799072223324 49.197840161257545, 6.77335027184804 49.29118309617939)",POINT (6.2770799072223324 49.197840161257545),POINT (6.77335027184804 49.29118309617939),True
way/125690613-220,DE206-220,way/81540198-220,13.055761459215091,48.27020226512334,13.081722173669805,48.256428168531805,983.112,0.377514,0.075252,DE22A,AT311,"LINESTRING (13.055761459215091 48.27020226512334, 13.081722173669805 48.256428168531805)",POINT (13.055761459215091 48.27020226512334),POINT (13.081722173669805 48.256428168531805),True
way/125690616-220,DE206-220,way/81540198-220,13.055761459215091,48.27020226512334,13.081722173669805,48.256428168531805,983.112,0.370662,0.073886,DE22A,AT311,"LINESTRING (13.055761459215091 48.27020226512334, 13.081722173669805 48.256428168531805)",POINT (13.055761459215091 48.27020226512334),POINT (13.081722173669805 48.256428168531805),True
